stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,intro.started,text.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,polygon.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
28,0.5,2.0,30.05562590016052,,,,,,,,,30.0397034001071,30.05562590016052,30.555760300019756,30.53883199999109,30.53883199999109,30.83864239999093,31.139719299972057,right,2.0,1,1,0.5961872001644224,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
29,0.5,2.0,31.15560350008309,,,,,,,,,31.139845700003207,31.15560350008309,31.65591760003008,31.639044699957594,31.639044699957594,31.938999900128692,32.15744880004786,left,-2.0,1,1,0.5003325999714434,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
30,0.5,2.0,32.17223590007052,,,,,,,,,32.15757520007901,32.17223590007052,32.672371899941936,32.672371899941936,32.672371899941936,32.97248820005916,33.10666420008056,left,-2.0,1,1,0.4307384002022445,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
31,0.5,1.5,33.122319699963555,,,,,,,,,33.10692310007289,33.122319699963555,33.622805200051516,33.622805200051516,33.622805200051516,33.922107900027186,34.18989780009724,right,1.5,1,1,0.5597391999326646,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
32,0.5,1.5,34.205401099985465,,,,,,,,,34.19008229998872,34.205401099985465,34.70561640011147,34.70561640011147,34.70561640011147,35.005482899956405,35.123158500064164,right,1.5,1,1,0.4034553000237793,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
33,0.5,1.5,35.138774499995634,,,,,,,,,35.12335709994659,35.138774499995634,35.63895100005902,35.622586000012234,35.622586000012234,35.922032200032845,36.27325089997612,left,-1.5,0,0,0.6470095000695437,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
34,0.5,2.0,36.2887332001701,,,,,,,,,36.273465800099075,36.2887332001701,36.78940310003236,36.77285460010171,36.77285460010171,37.07210240000859,37.39021580014378,left,-2.0,1,1,0.603800900047645,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
35,0.5,2.0,37.405780400149524,,,,,,,,,37.39043670007959,37.405780400149524,37.90593699994497,37.90593699994497,37.90593699994497,38.205414900090545,38.440340999979526,right,2.0,1,1,0.5315867001190782,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
36,0.5,2.0,38.45566670014523,,,,,,,,,38.44046890013851,38.45566670014523,38.955894000129774,38.955894000129774,38.955894000129774,39.25553010008298,39.40728739998303,right,2.0,0,0,0.44844059995375574,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
37,0.5,2.5,39.4225066001527,,,,,,,,,39.40755660017021,39.4225066001527,39.922462000045925,39.922462000045925,39.922462000045925,40.22210490005091,40.39063929999247,left,-2.5,1,1,0.4653197000734508,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
